Income year2,Number of property interests1,Overall net rent outcome3,Number of individuals
2000,1,Overall net rent loss,495751
2001,1,Overall net rent loss,549300
2002,1,Overall net rent loss,559060
2003,1,Overall net rent loss,600389
2004,1,Overall net rent loss,655749
2005,1,Overall net rent loss,687251
2006,1,Overall net rent loss,723472
2007,1,Overall net rent loss,764209
2008,1,Overall net rent loss,832941
2009,1,Overall net rent loss,783741
2010,1,Overall net rent loss,791980
2011,1,Overall net rent loss,865339
2012,1,Overall net rent loss,906213
2013,1,Overall net rent loss,908473
2014,1,Overall net rent loss,903473
2015,1,Overall net rent loss,912372
2016,1,Overall net rent loss,917279
2017,1,Overall net rent loss,929961
